City,Location,Address,WorkSpaces,List Price,Available From,Operator Name,
London,Aldgate East,,30,15000,Available Now!,RunWayEast,
London,Aldgate East,,12,6000,Available now!,RunWayEast,
London,Aldgate East,,11,5830,Available Now!,RunWayEast,
London,Aldgate East,,7,3500,Available now!,RunWayEast,
London,Aldgate East,,6,3300,12/11/2023,RunWayEast,
London,Aldgate East,,6,3000,Available now!,RunWayEast,
London,Aldgate East,,6,2880,30/11/2023,RunWayEast,
London,Aldgate East,,5,2200,Available Now!,RunWayEast,
London,Aldgate East,,4,200,Available now!,RunWayEast,
London,Aldgate East,,4,2000,Available now!,RunWayEast,
London,Aldgate East,,4,1760,Available now!,RunWayEast,
London,Borough Market / London Bridge,,69,45000,Available now!,RunWayEast,
London,Borough Market / London Bridge,,33,21780,31/12/2023,RunWayEast,
London,Borough Market / London Bridge,,24,15120,Available now!,RunWayEast,
London,Borough Market / London Bridge,,12,9000,31/12/2023,RunWayEast,
London,Borough Market / London Bridge,,10,6200,31/12/2023,RunWayEast,
London,Borough Market / London Bridge,,6,475,Available now!,RunWayEast,
London,London Bridge,,26,15860,Available Now!,RunWayEast,
London,London Bridge,,6,4200,05/12/2023,RunWayEast,
London,Old Street / Shoreditch,,29,23400,31/12/2023,RunWayEast,
London,Old Street / Shoreditch,,25,14250,Available now!,RunWayEast,
London,Old Street / Shoreditch,,25,13250,Available now!,RunWayEast,
London,Old Street / Shoreditch,,14,7560,Available Now!,RunWayEast,
London,Old Street / Shoreditch,,14,6930,Available Now!,RunWayEast,
London,Old Street / Shoreditch,,10,5300,Available now!,RunWayEast,
London,Old Street / Shoreditch,,8,525,Available now!,RunWayEast,
London,Old Street / Shoreditch,,8,4640,30/12/1899,RunWayEast,
London,Soho,,24,13440,Available Now!,RunWayEast,
London,Soho,,6,3600,Available now!,RunWayEast,
London,Soho,,1,550,Available now!,RunWayEast,
London,Bloomsbury / Marylebone,,32,20640,Available now!,RunWayEast,
London,Bloomsbury / Marylebone,,30,28263,Available now!,RunWayEast,
London,Bloomsbury / Marylebone,,29,28820,Available now!,RunWayEast,
London,Bloomsbury / Marylebone,,24,14280,Available now!,RunWayEast,
London,Bloomsbury / Marylebone,,24,13080,Available now!,RunWayEast,
London,Bloomsbury / Marylebone,,22,13090,Available now!,RunWayEast,
London,Bloomsbury / Marylebone,,21,13545,Available now!,RunWayEast,
London,Bloomsbury / Marylebone,,19,11305,Available now!,RunWayEast,
London,Bloomsbury / Marylebone,,18,12510,Available now!,RunWayEast,
London,Bloomsbury / Marylebone,,17,11815,Available now!,RunWayEast,
London,Bloomsbury / Marylebone,,14,9730,Available now!,RunWayEast,
London,Bloomsbury / Marylebone,,14,9030,Available now!,RunWayEast,
London,Bloomsbury / Marylebone,,14,7630,Available now!,RunWayEast,
London,Bloomsbury / Marylebone,,14,9030,Available now!,RunWayEast,
London,Bloomsbury / Marylebone,,14,7630,Available now!,RunWayEast,
London,Bloomsbury / Marylebone,,13,8385,Available now!,RunWayEast,
London,Bloomsbury / Marylebone,,13,9035,Available now!,RunWayEast,
London,Bloomsbury / Marylebone,,13,9035,Available now!,RunWayEast,
London,Bloomsbury / Marylebone,,13,8385,Available now!,RunWayEast,
London,Bloomsbury / Marylebone,,12,5940,Available now!,RunWayEast,
London,Bloomsbury / Marylebone,,12,7740,Available now!,RunWayEast,
London,Bloomsbury / Marylebone,,10,5950,Available now!,RunWayEast,
London,Bloomsbury / Marylebone,,10,6950,Available now!,RunWayEast,
London,Bloomsbury / Marylebone,,9,6255,Available now!,RunWayEast,
London,Bloomsbury / Marylebone,,8,5560,Available now!,RunWayEast,
London,Bloomsbury / Marylebone,,8,5160,Available now!,RunWayEast,
London,Bloomsbury / Marylebone,,8,5560,Available now!,RunWayEast,
London,Bloomsbury / Marylebone,,6,3270,Available Now!,RunWayEast,
London,Bloomsbury / Marylebone,,6,4170,Available now!,RunWayEast,
London,Bloomsbury / Marylebone,,6,3870,Available now!,RunWayEast,
Brighton,Brighton,,36,16560,Available now!,RunWayEast,
Brighton,Brighton,,32,14720,Available now!,RunWayEast,
Brighton,Brighton,,29,350,Available now!,RunWayEast,
Brighton,Brighton,,21,8820,Available now!,RunWayEast,
